id,ln_wage,age,age2,exper,exper2,educ,female,high,bachelor,secondary,vocational,other,private,no_jobs,age_drop,no_empl,f_work,m_work
84,9.8652668,33,1089,12,144,16,0,0,1,0,0,0,0,3,16,75,1,1
85,11.156251,59,3481,37,1369,19,0,1,0,0,0,0,0,2,17,1 - 2,1,0
86,10.584056,33,1089,17,289,13,0,0,0,1,0,0,1,7,16,75,1,1
87,8.6995144,22,484,6,36,13,1,0,0,1,0,0,0,9,18,17,1,1
88,10.165852,38,1444,14,196,10,1,0,0,0,0,1,0,5,18,1000,1,1
89,5.2983174,18,324,2,4,13,1,0,0,1,0,0,1,2,18,37,,0
90,6.0520892,16,256,0,0,13,1,0,0,1,0,0,1,2,16,75,,
91,7.467371,24,576,7,49,13,0,0,0,1,0,0,0,3,15,1000,1,1
92,7.4181809,24,576,3,9,16,0,0,1,0,0,0,1,5,16,150,,1
93,6.8793559,31,961,9,81,16,1,0,1,0,0,0,0,11,16,17,1,1
94,5.3471074,25,625,7,49,13,0,0,0,1,0,0,1,5,18,17,1,1
95,10.085809,48,2304,29,841,16,0,0,1,0,0,0,0,2,17,350,1,0
96,10.257659,27,729,11,121,16,0,0,1,0,0,0,0,2,15,1000,1,1
97,10.819778,33,1089,12,144,16,1,0,1,0,0,0,0,13,18,1000,1,0
98,5.8464389,33,1089,17,289,13,0,0,0,1,0,0,1,4,16,1 - 2,1,1
99,6.4846354,51,2601,35,1225,13,0,0,0,1,0,0,1,4,16,350,1,1
100,7.2442274,26,676,9,81,13,1,0,0,1,0,0,1,2,16,17,1,1
101,8.3471165,65,4225,47,2209,10,1,0,0,0,0,1,0,7,18,17,1,0
102,9.5645123,39,1521,26,676,10,1,0,0,0,0,1,0,6,15,17,,0
103,10.308952,42,1764,26,676,13,0,0,0,1,0,0,1,3,16,37,1,1
104,4.7874918,21,441,2,4,10,0,0,0,0,0,1,1,3,16,100 - 199,1,0
105,7.377759,51,2601,34,1156,13,1,0,0,1,0,0,0,6,17,150,1,0
106,6.4769726,58,3364,42,1764,13,0,0,0,1,0,0,0,4,16,150,1,1
107,7.3132205,27,729,7,49,13,1,0,0,1,0,0,0,4,18,1000,1,0
108,4.356709,21,441,4,16,13,1,0,0,1,0,0,1,3,16,100 - 199,,1
109,3.2188759,21,441,5,25,13,1,0,0,1,0,0,0,2,16,100 - 199,1,1
110,10.373491,26,676,10,100,13,1,0,0,1,0,0,1,2,16,750,1,1
111,7.377759,25,625,9,81,13,1,0,0,1,0,0,0,2,16,17,1,1
